instance,probtype, n_vars, n_constr, n_nzcnt, nq_vars, nq_constr, nq_nzcnt, lp_avg, lp_l2_avg, lp_linf, lp_objval, num_b_variables, num_i_variables, num_c_variables, num_s_variables, num_n_variables, ratio_b_variables, ratio_i_variables, ratio_c_variables, ratio_s_variables, ratio_n_variables, num_i+_variables, ratio_i+_variables, num_unbounded_disc, ratio_unbounded_disc, support_size_avg, support_size_median, support_size_varcoef, support_size_q90mq10, rhs_c_0_avg, rhs_c_0_varcoef, rhs_c_1_avg, rhs_c_1_varcoef, rhs_c_2_avg, rhs_c_2_varcoef, vcg_constr_deg0_avg, vcg_constr_deg0_median, vcg_constr_deg0_varcoef, vcg_constr_deg0_q90mq10, vcg_var_deg0_avg, vcg_var_deg0_median, vcg_var_deg0_varcoef, vcg_var_deg0_q90mq10, vcg_constr_weight0_avg, vcg_constr_weight0_varcoef, vcg_var_weight0_avg, vcg_var_weight0_varcoef, A_ij_normalized0_avg, A_ij_normalized0_varcoef, a_normalized_varcoefs0_avg, a_normalized_varcoefs0_varcoef, obj_coefs0_avg, obj_coefs0_std, obj_coef_per_constr0_avg, obj_coef_per_constr0_std, obj_coef_per_sqr_constr0_avg, obj_coef_per_sqr_constr0_std, vcg_constr_deg1_avg, vcg_constr_deg1_median, vcg_constr_deg1_varcoef, vcg_constr_deg1_q90mq10, vcg_var_deg1_avg, vcg_var_deg1_median, vcg_var_deg1_varcoef, vcg_var_deg1_q90mq10, vcg_constr_weight1_avg, vcg_constr_weight1_varcoef, vcg_var_weight1_avg, vcg_var_weight1_varcoef, A_ij_normalized1_avg, A_ij_normalized1_varcoef, a_normalized_varcoefs1_avg, a_normalized_varcoefs1_varcoef, obj_coefs1_avg, obj_coefs1_std, obj_coef_per_constr1_avg, obj_coef_per_constr1_std, obj_coef_per_sqr_constr1_avg, obj_coef_per_sqr_constr1_std, vcg_constr_deg2_avg, vcg_constr_deg2_median, vcg_constr_deg2_varcoef, vcg_constr_deg2_q90mq10, vcg_var_deg2_avg, vcg_var_deg2_median, vcg_var_deg2_varcoef, vcg_var_deg2_q90mq10, vcg_constr_weight2_avg, vcg_constr_weight2_varcoef, vcg_var_weight2_avg, vcg_var_weight2_varcoef, A_ij_normalized2_avg, A_ij_normalized2_varcoef, a_normalized_varcoefs2_avg, a_normalized_varcoefs2_varcoef, obj_coefs2_avg, obj_coefs2_std, obj_coef_per_constr2_avg, obj_coef_per_constr2_std, obj_coef_per_sqr_constr2_avg, obj_coef_per_sqr_constr2_std, mipgap, nodecnt, clqcnt, covcnt, itcnt_max, numnewsolution_sum, newin_sum, nodeleft_avg, nodeleft_varcoef, diffObj_avg, diffObj_median, diffObj_varcoef, diffObj_q90mq10, numfeas, iinf_avg, iinf_median, iinf_varcoef, iinf_q90mq10, diffBestInt_avg, diffBestInt_median, diffBestInt_varcoef, diffBestInt_q90mq10, diffBestObjUp_avg, diffBestObjUp_median, diffBestObjUp_varcoef, diffBestObjUp_q90mq10, numcuts_sum, diffGap_avg, diffGap_median, diffGap_varcoef, diffGap_q90mq10, pre_t, rel_t, new_row, new_col, new_nonzero, clique_table, cliqueCuts, impliedBoundCuts, flowCuts, mixedIntegerRoundingCuts, gomoryFractionalCuts,time_relax, time_VCG0, time_VCG1, time_VCG2, cplex_prob_time
30n20b8.mps.gz,1, 18380, 576, 109706, 0, 0, 0, 0.451208, 8.06284, 188.846, 0.390104, 18318, 62, 0, 0, 0, 0.996627, 0.00337323, 0, 0, 0, 18380, 1, 0, 0, 2.31153, 2, 2.35451, 0, 0, 0, 0.333333, 1.41421, -512, -512, 190.462, 141, 1.02056, 635, 5.96877, 3, 0.707482, 8, 7145.97, 2.86776, 223.943, 0.552627, 1, 0, 0.41628, 0.468841, 0.00821545, 0.827958, 3.85702e-05, 0.00388713, 0.000562913, 0.0567308, 0, 0, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, -512, -512, 190.462, 141, 1.02056, 635, 5.96877, 3, 0.707482, 8, 7145.97, 2.86776, 223.943, 0.552627, 1, 0, 0.41628, 0.468841, 0.00821545, 0.827958, 3.85702e-05, 0.00388713, 0.000562913, 0.0567308, 1, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.47, 0.01, 0, 0.01, 4.21
2club200v15p5scn.mps.gz,1, 200, 17013, 104811, 0, 0, 0, 0.310556, 0.362519, 0.5, -121.222, 200, 0, 0, 0, 0, 1, 0, 0, 0, 0, 200, 1, 0, 0, 2, 2, 0, 0, 1, 0, -512, -512, -512, -512, 6.16064, 6, 0.321867, 5, 524.055, 520, 0.215756, 275, -2.16064, -0.917741, -183.795, -0.665928, -0.350717, -2.67019, 0.298204, 1.31903, 1, 0, 0.00199528, 0.00042433, 0.0444216, 0.00468976, 0, 0, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, -512, -512, 6.16064, 6, 0.321867, 5, 524.055, 520, 0.215756, 275, -2.16064, -0.917741, -183.795, -0.665928, -0.350717, -2.67019, 0.298204, 1.31903, 1, 0, 0.00199528, 0.00042433, 0.0444216, 0.00468976, 0.765, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.3, 0.01, 0, 0.02, 9.1
8div-n59k10.mps.gz,1, 6143, 2065, 539151, 0, 0, 0, 0.242108, 9.86755, 708, -709, 6138, 5, 0, 0, 0, 0.999186, 0.000813935, 0, 0, 0, 6143, 1, 5, 0.000813935, 2, 2, 0, 0, -512, -512, 226.91, 42.4025, -512, -512, 261.09, 5, 0.989865, 511, 87.7667, 3, 2.16067, 509, 173.589, 1.06404, 58.3528, 3.50331, 0.834392, 0.441022, 5.01981, 1.00763, 0.000162787, 0.0127578, 4.06967e-05, 0.00318944, 8.13935e-05, 0.00637888, 0, 0, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, 0, 0, -512, -512, -512, -512, -512, -512, 261.09, 5, 0.989865, 511, 87.7667, 3, 2.16067, 509, 173.589, 1.06404, 58.3528, 3.50331, 0.834392, 0.441022, 5.01981, 1.00763, 0.000162787, 0.0127578, 4.06967e-05, 0.00318944, 8.13935e-05, 0.00637888, 1, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.52, 0.03, 0.01, 0.03, 4.65
22433.mps.gz,1, 429, 198, 3408, 0, 0, 0, 0.11736, 0.200469, 0.466942, 21240.5, 231, 0, 198, 0, 0, 0.538462, 0, 0.461538, 0, 0, 231, 0.538462, 0, 0, 2, 2, 0, 0, -512, -512, 4.40404, 2.96537, -512, -512, 16.2121, 3, 2.83969, 18, 13.8961, 14, 0.164938, 6, 616.545, 13.7466, 528.468, 0.440317, 0.0795457, 5.64401, 0.349305, 3.96413, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0.676768, 1.08781, 0.676768, 1.08781, 0.82331, 0.497714, 0, 0, 0.00505051, 0.0708872, 0.00505051, 0.0708872, 0.00505051, 0.0708872, 17.2121, 4, 2.67471, 18, 7.94406, 11, 0.836513, 15, 617.222, 13.7313, 284.872, 1.10107, 0.12568, 3.82966, 0.322665, 3.999, 0.002331, 0.0482242, 0.002331, 0.0482242, 0.002331, 0.0482242, 0, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0, 0, 0, 0, 10.59
10teams.mps.gz,1, 2025, 230, 12150, 0, 0, 0, 0.0202632, 0.08196, 0.5, 917, 1800, 0, 225, 0, 0, 0.888889, 0, 0.111111, 0, 0, 1800, 0.888889, 0, 0, 2, 2, 0, 0, 1.52632, 0.327132, 1, 0, -512, -512, 46.9565, 45, 0.363666, 32, 6, 6, 0, 0, 46.9565, 0.363666, 6, 0, 0.833333, 0.282843, 0.00153719, 15.1327, 23.1667, 15.6888, 3.86111, 2.6148, 9.45775, 6.40493, 5.86957, 0, 1.8672, 9, 6, 6, 0, 0, 5.86957, 1.8672, 6, 0, 0.833333, 0.282843, 0.0209932, 10.8344, 6.66667, 2.62467, 1.11111, 0.437445, 2.72166, 1.07152, 52.8261, 45, 0.281091, 36, 6, 6, 0, 0, 52.8261, 0.281091, 6, 0, 0.833333, 0.282843, 0, 0, 21.3333, 15.6985, 3.55556, 2.61642, 8.7093, 6.40891, 0.0865801, 0, 5, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.02, 0, 0, 0, 16.77
50v-10.mps.gz,1, 2013, 233, 2745, 0, 0, 0, 0.00594515, 0.0525565, 1.11111, 2879.07, 1464, 183, 366, 0, 0, 0.727273, 0.0909091, 0.181818, 0, 0, 1647, 0.818182, 0, 0, 25.4444, 2, 2.60611, 211, 0, 0, 0, 1.95559e+12, -512, -512, 7.06867, 9, 0.522708, 9, 1, 1, 0, 0, -513.657, -0.522708, -72.6667, -0.901513, -512, -512, 0.708055, 0.522708, 136.078, 132.245, 136.078, 132.245, 136.078, 132.245, 4.71245, 2, 1.17418, 12, 3, 3, 0, 0, 1.57082, 0.522708, 1, 0, 0, 4.23644e+08, 0.0584076, 3.36186, 0, 0, 0, 0, 0, 0, 11.7811, 11, 0.206562, 3, 1.36364, 1, 0.565685, 2, -512.086, -0.522708, -59.2727, -1.1087, 0, 4.23644e+08, 0.919537, 0.407736, 111.336, 130.628, 111.336, 130.628, 111.336, 130.628, 0.323714, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0, 0, 0, 0, 20.26
CMS750_4.mps.gz,1, 11697, 16381, 44903, 0, 0, 0, 0.0836488, 0.178068, 0.495868, 250, 7196, 0, 4501, 0, 0, 0.6152, 0, 0.3848, 0, 0, 7196, 0.6152, 0, 0, 2, 2, 0, 0, -512, -512, 1000, 0, -11.8774, -2.6195, 1.03889, 1, 1.4101, 4, 2.36492, 2, 0.540365, 0, -15.0201, -1.77217, -34.1918, -0.873463, 0.480555, 1.8249, 0.0021061, 15.3755, 0.104225, 0.305552, 0.0230342, 0.0783965, 0.0476176, 0.144107, 1.70228, 2, 0.418182, 2, 6.19529, 6, 0.287238, 4, 6.10463e-05, 127.984, 0.000222173, 7344.69, 5.10282e-08, 3.8851e+06, 6.10463e-05, 127.984, 0.000222173, 0.0149038, 0.000222173, 0.0149038, 0.000222173, 0.0149038, 2.74116, 3, 0.303001, 2, 3.83885, 2, 0.621729, 6, -15.02, -1.77218, -21.0347, -1.36674, 0.194006, 3.21695, 0.48349, 1.25174, 0.0642045, 0.245117, 0.0142561, 0.063164, 0.0293799, 0.115728, 1, 0, 0, 2, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.18, 0.01, 0.01, 0.02, 3.73
30_70_45_05_100.mps.gz,1, 10772, 12050, 45889, 0, 0, 0, 0.0194751, 0.0916125, 0.5, 8.1, 10771, 0, 1, 0, 0, 0.999907, 0, 9.28333e-05, 0, 0, 10771, 0.999907, 0, 0, 2, 2, 0, 0, -512, -512, -512, -512, 0.444896, 2.35982, 3.80822, 2, 1.26894, 10, 4.26042, 4, 0.241756, 2, 2.12075, 2.58191, 2.37257, 0.522392, 0.343677, 0.201857, 0.0249708, 4.42965, 2.37954, 1.12658, 0.542086, 0.18578, 1.12921, 0.459032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -512, -512, 0, 0, 5356, 0, 0, 0, 0, 0, 3.80822, 2, 1.26894, 10, 4.26003, 4, 0.241959, 2, 2.12075, 2.58191, 2.37235, 0.522505, 0.343677, 0.201857, 0.0249708, 4.42965, 2.87653, 51.5921, 0.542035, 0.185845, 1.1291, 0.45914, 1, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,12.4, 0.01, 0, 0.01, 8.74
a1c1s1.mps.gz,1, 3648, 3312, 10178, 0, 0, 0, 0.0303277, 0.0365095, 0.0625, 997.53, 192, 0, 3456, 0, 0, 0.0526316, 0, 0.947368, 0, 0, 192, 0.0526316, 0, 0, 2, 2, 0, 0, 141.24, 5.11929, 0.592147, 5.61637, -512, -512, 0.342995, 0, 1.79709, 1, 5.91667, 4, 0.972035, 6, 2.28502, 15.2054, 39.4167, 1.21363, 0.026, 0.850276, 0.000603865, 57.5413, 119.167, 72.1062, 26.2219, 20.7947, 53.4395, 34.1144, 2.73007, 2, 0.933963, 3, 2.61632, 2, 0.451067, 2, -134.306, -1.65329, -128.71, -1.68913, 0.0147206, 9.0892, 0.31677, 1.45352, 0.394757, 0.924544, 0.209715, 0.50601, 0.286362, 0.674453, 3.07307, 2, 0.866801, 2, 2.79002, 2, 0.680374, 2, -132.021, -1.72211, -119.861, -1.79535, 0.0158822, 7.99427, 0.322044, 1.45129, 6.64591, 31.2705, 1.57878, 7.53256, 3.0839, 14.2322, 1, 0, 14, 1, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,0.02, 0, 0, 0.01, 7.15
30_70_45_095_98.mps.gz,1, 10990, 12471, 46387, 0, 0, 0, 0.102651, 0.187529, 0.5, 11.5, 10989, 0, 1, 0, 0, 0.999909, 0, 9.09918e-05, 0, 0, 10989, 0.999909, 0, 0, 2, 2, 0, 0, -512, -512, -512, -512, 0.480314, 2.28066, 3.71959, 2, 1.13445, 9, 4.22122, 4, 0.244392, 2, 2.0445, 2.40171, 2.32023, 0.543734, 0.337942, 0.138317, 0.0261485, 4.14431, 2.37001, 1.12563, 0.546835, 0.193503, 1.13157, 0.464488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -512, -512, 0, 0, 5985, 0, 0, 0, 0, 0, 3.71959, 2, 1.13445, 9, 4.22084, 4, 0.244589, 2, 2.0445, 2.40171, 2.32002, 0.543842, 0.337942, 0.138317, 0.0261485, 4.14431, 2.91438, 57.0766, 0.546785, 0.193565, 1.13146, 0.464592, 1, 0, 0, 0, -512, 0, 0, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0,11.29, 0.01, 0, 0.01, 7.99
